2026-04-29 09:35:29 | DEBUG    | Segmenter | New block started at element 364 (Reason: Font=False, Gap=True, Style=False)
2026-04-29 09:35:29 | DEBUG    | Segmenter | New block started at element 434 (Reason: Font=False, Gap=True, Style=False)
2026-04-29 09:35:29 | DEBUG    | Segmenter | Merging small block (16 chars) into next.
2026-04-29 09:35:29 | DEBUG    | Segmenter | Merging small block (18 chars) into next.
2026-04-29 09:35:29 | INFO     | Segmenter | Segmentation complete. Created 7 blocks (after merging).
2026-04-29 09:35:29 | INFO     | MainPipeline | Success! Ground Truth saved to: evaluation_results\AroundTown Focused POC SOW\AroundTown Focused POC SOW_ground_truth.txt
2026-04-29 09:54:03 | INFO     | MainPipeline | --- Processing Started: 5 עמודים.pdf ---
2026-04-29 09:54:03 | INFO     | Router | Analyzing file extension: .pdf
2026-04-29 09:54:03 | INFO     | Router | Performing deep analysis on PDF...
2026-04-29 09:54:03 | INFO     | Router | Route identified: PDF (Native Text)
2026-04-29 09:54:03 | INFO     | NativePDF | Starting native extraction for: uploads\5 עמודים.pdf
2026-04-29 09:54:03 | DEBUG    | NativePDF | Processing page 1...
2026-04-29 09:54:03 | DEBUG    | NativePDF | Processing page 2...
2026-04-29 09:54:03 | DEBUG    | NativePDF | Processing page 3...
2026-04-29 09:54:03 | DEBUG    | NativePDF | Processing page 4...
2026-04-29 09:54:03 | DEBUG    | NativePDF | Processing page 5...
2026-04-29 09:54:03 | INFO     | NativePDF | Successfully extracted 184 text spans.
2026-04-29 09:54:03 | INFO     | NativePDF | Extracting embedded images from PDF...
2026-04-29 09:54:03 | INFO     | NativePDF | Extracted 9 images successfully.
2026-04-29 09:54:03 | INFO     | Segmenter | Starting segmentation for 184 elements.
2026-04-29 09:54:03 | DEBUG    | Segmenter | New block started at element 26 (Reason: Font=True, Gap=False, Style=False)
2026-04-29 09:54:03 | DEBUG    | Segmenter | New block started at element 39 (Reason: Font=False, Gap=True, Style=False)
2026-04-29 09:54:03 | DEBUG    | Segmenter | New block started at element 79 (Reason: Font=False, Gap=True, Style=False)
2026-04-29 09:54:03 | DEBUG    | Segmenter | Merging small block (28 chars) into next.
2026-04-29 09:54:03 | INFO     | Segmenter | Segmentation complete. Created 2 blocks (after merging).
2026-04-29 09:54:03 | INFO     | MainPipeline | Success! Ground Truth saved to: evaluation_results\5 עמודים\5 עמודים_ground_truth.txt
2026-04-29 10:02:59 | INFO     | MainPipeline | --- Processing Started: 5 עמודים.pdf ---
2026-04-29 10:02:59 | INFO     | Router | Analyzing file extension: .pdf
